"slack","owner","path_group","path_class","start","end"
"5.906","IP_PCIE_HARD","ref_clk","sequential timing path","u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/U_IPS2L_HSSTLP_PCIE_SOFT_PHY/hsst_pciex4_rst/hsst_tx_rst_mcrsw/tx_rst_fsm_multi_sw_lane/cntr[5]/opit_0_L6QL5Q_perm/CLK","u_ips2l_pcie_wrap/U_IPS2L_PCIE_TOP/U_IPS2L_HSSTLP_PCIE_SOFT_PHY/hsst_pciex4_rst/hsst_tx_rst_mcrsw/tx_rst_fsm_multi_sw_lane/hsst_fsm_reg[8]/opit_0_L6Q_LUT6DL5Q_perm/CE"
"6.744","RTL_OWNED","ref_clk","async timing path","u_refclk_perstn_debounce/rstn_out/opit_0_inv_L6Q_perm/CLK","ref_led_cnt[22]/opit_0_inv_AQ_perm/RS"
"6.824","RTL_OWNED","ref_clk","async timing path","u_refclk_perstn_debounce/rstn_out/opit_0_inv_L6Q_perm/CLK","ref_led_cnt[20]/opit_0_inv_AQ_perm/RS"
"6.904","RTL_OWNED","ref_clk","async timing path","u_refclk_perstn_debounce/rstn_out/opit_0_inv_L6Q_perm/CLK","ref_led_cnt[16]/opit_0_inv_AQ_perm/RS"
"7.987","RTL_OWNED","cmos1_pclk","async timing path","u_cmos1_init_done_sync/sig_synced/opit_0_inv/CLK","u_cmos1_8_16bit/byte_hi[1]/opit_0_inv/RS"
"7.987","RTL_OWNED","cmos1_pclk","async timing path","u_cmos1_init_done_sync/sig_synced/opit_0_inv/CLK","u_cmos1_8_16bit/byte_hi[5]/opit_0_inv/RS"
"7.987","RTL_OWNED","cmos1_pclk","async timing path","u_cmos1_init_done_sync/sig_synced/opit_0_inv/CLK","u_cmos1_8_16bit/byte_hi[6]/opit_0_inv/RS"
"24.395","RTL_OWNED","cfg_clk","sequential timing path","rstn_1ms[8]/opit_0_inv_AQ_perm/CLK","rstn_1ms[13]/opit_0_inv_AQ_perm/CE"
"24.537","RTL_OWNED","cfg_clk","sequential timing path","rstn_1ms[8]/opit_0_inv_AQ_perm/CLK","rstn_1ms[12]/opit_0_inv_AQ_perm/CE"
"24.605","RTL_OWNED","cfg_clk","sequential timing path","rstn_1ms[8]/opit_0_inv_AQ_perm/CLK","rstn_1ms[0]/opit_0_inv_L6Q_LUT6DL5Q_perm/CE"
"36.141","RTL_OWNED","sys_clk","sequential timing path","u_power_on_delay/camera_pwnd_reg/opit_0_inv_L6Q_LUT6DQL5_perm/CLK","u_power_on_delay/camera_rstn_reg/opit_0_L6Q_perm/RS"
